id,title,abstract
1,评论,"总体来说,性价比非常高"
2,评论,暖心的服务与极高的性价比
3,评论,舒适又经济
4,评论,家一般的温馨体验
5,评论,"酒店服务到位设施齐全,周边清静交通便捷"
6,评论,"晚上入住很安静,隔音效果很好"
7,评论,"卫生很干净,安全系数就不用说"
8,评论,温馨居住体验，家的感觉
9,评论,总体还算干净卫生
10,评论,"整体的风格很文艺,壁画很美像地中海风格"
11,评论,客栈很大
12,评论,"房间很宽敞,床也很大"
13,评论,"酒店的性价比还是挺高的,值得推荐"
14,评论,最后离店的时候前台美女还送了一个馅饼
15,评论,干净整洁的被子
16,评论,酒店公共区域装修的也是特别的考究
17,评论,风景是相当不错的
18,评论,值得推荐
19,评论,老板态度也很好
20,评论,"酒店房间比较大,电子锁,床也较大"
21,评论,酒店装修很文艺
22,评论,"床单干净,物品齐全,东西完备"
23,评论,前台服务的小姐姐也是很耐心
24,评论,"安全#我们住在顶楼,很安静也很安全啦"
25,评论,"舒服,很干净卫生"
26,评论,公共区域做的很有特色
27,评论,房间特别干净
28,评论,老板很热情
29,评论,"房间布局合理,三人东西很多都可以摆得下"
30,评论,"很温暖的黄色系,墙上还挂了各种照片"
31,评论,老板人特别好
32,评论,客栈住得很舒心
33,评论,安全，舒适，特别温馨
34,评论,店家服务很好
35,评论,"位置也好找,火车站里面就有来的公交"
36,评论,让我们特别感动
37,评论,很干净
38,评论,酒店离海边很近
39,评论,感觉很安全
40,评论,为店家的服务以及环境点赞
41,评论,"不错,床很软"
42,评论,是来厦门让我感觉服务最好的一家
43,评论,"老板人超好的,房间挺大的,住着非常舒服"
44,评论,小哥免费接送我们
45,评论,干净卫生
46,评论,房间整体很干净
47,评论,"第一次住客棧,覺得比賓館環境還好喲"
48,评论,整个房间都是超级温暖的
49,评论,很温馨，很小资情调
50,评论,装修风格是我最喜欢的简约带点欧式的风格
51,评论,"服务非常好,环境也是棒棒哒"
52,评论,店家很好很热情
53,评论,比较舒服的一次旅行体验
54,评论,很热情
55,评论,老板人超级好
56,评论,"环境也很不错,退房时还有送厦门特产"
57,评论,"床睡起来很舒服,卫浴设备也很棒"
58,评论,"对客栈很满意,装修风格很温馨,环境好"
59,评论,老板很热情
60,评论,整体很干净，很舒服
61,评论,"很喜欢这里的风格,出行方便,离海边很近"
62,评论,"房间里面的布局很温馨,有种家的感觉"
63,评论,"方便快捷,感觉到满满的热情"
64,评论,地方很漂亮
65,评论,"老板超级好,服务特别周到"
66,评论,很好的客栈
67,评论,服务态度好
68,评论,"服务态度超级好,老板人也特别好"
69,评论,很有特色
70,评论,前台姐姐很热情
71,评论,酒店服务非常好
72,评论,很热情很好人的老板
73,评论,老板服务很周到
74,评论,"很喜欢,服务也很好"
75,评论,"位置也可以,靠近海边"
76,评论,环境很好
77,评论,房间不大，但很整洁，装修得很有特色
78,评论,"洗手液、洗衣液,感觉很贴心"
79,评论,装修好而且干净整洁，服务贴心
80,评论,"总体来说很喜欢,他的装修他的布局都很赞"
81,评论,"服务也很好,环境也很干净"
82,评论,"房间很干净,光线也很好"
83,评论,"酒店新开业,感觉比较新"
84,评论,服务很到位
85,评论,环境也很好
86,评论,最好的是晚上比较安静
87,评论,"院里环境很温馨,屋里装修也超温馨"
88,评论,服务特别好
89,评论,这家旅馆最符合我
90,评论,店家很热情
91,评论,最主要的是老板人特别好
92,评论,卫生挺好的
93,评论,庄园装修不错
94,评论,"房间特别干净,风格很时尚温馨"
95,评论,环境、卫生、安全都是比较好的
96,评论,我们离店的时候店长还送了小礼物
97,评论,"住的很舒服,老板态度特别好"
98,评论,地理位置优越
99,评论,酒店很方便
100,评论,客栈的位置很好找的
101,评论,房间空调很好
102,评论,"沙发很柔软舒服,空调很凉爽"
103,评论,客栈服务员很贴心
104,评论,好喜欢
105,评论,"朋友推荐,挺好的,干净,离海边也近"
106,评论,酒店明黄色装修很清新
107,评论,"很不错,第二次来住了"
108,评论,床很舒服
109,评论,老板态度特别好
110,评论,位置还算好找
111,评论,非常满意
112,评论,很好，很舒服
113,评论,这里很赞啊
114,评论,"很舒适,看着温馨,整洁,档次好"
115,评论,性价比很高
116,评论,"帮忙订票,让游客感觉很温暖"
117,评论,很干净很整洁还可以做饭
118,评论,个人觉得安全指数是比较放心的
119,评论,交通也很方便
120,评论,交通很便利
